200 200
25 46 2
174 192 1
26 75 2
41 0 1
114 148 2
108 25 1
54 104 2
51 91 1
136 110 2
38 142 1
54 12 2
99 68 1
132 8 2
33 170 1
173 192 2
15 77 1
106 17 2
173 20 1
6 173 2
84 102 1
118 188 2
188 166 1
152 70 2
107 112 1
54 29 2
167 73 1
168 168 2
130 169 1
101 57 2
12 88 1
67 104 2
53 88 1
25 158 2
121 30 1
51 157 2
52 167 1
189 116 2
127 186 1
11 86 2
163 73 1
199 164 2
34 125 1
82 129 2
32 52 1
25 99 2
22 25 1
48 41 2
29 120 1
81 173 2
103 86 1
190 88 2
34 101 1
7 37 2
60 183 1
199 59 2
196 121 1
175 184 2
84 167 1
84 101 2
124 186 1
144 128 2
176 122 1
184 196 2
94 174 1
84 106 2
161 38 1
137 83 2
8 92 1
102 152 2
90 0 1
125 14 2
163 2 1
146 165 2
153 117 1
62 112 2
35 15 1
31 168 2
161 79 1
198 179 2
159 33 1
133 133 2
9 49 1
2 37 2
48 85 1
158 180 2
198 67 1
75 147 2
137 161 1
28 4 2
111 197 1
49 82 2
194 87 1
13 50 2
34 80 1
124 83 2
98 32 1
35 186 2
123 15 1
105 7 2
111 114 1
167 93 2
181 154 1
67 172 2
48 184 1
176 24 2
180 14 1
50 109 2
179 136 1
3 49 2
69 194 1
176 41 2
159 165 1
157 147 2
110 19 1
102 183 2
125 180 1
1 140 2
180 65 1
119 189 2
149 112 1
3 152 2
189 20 1
74 141 2
96 31 1
50 91 2
150 122 1
160 110 2
171 108 1
134 113 2
32 174 1
84 149 2
85 53 1
174 86 2
199 29 1
89 124 2
28 192 1
31 28 2
50 178 1
18 105 2
141 80 1
188 158 2
163 137 1
126 145 2
12 161 1
96 156 2
160 130 1
13 23 2
134 104 1
130 78 2
45 33 1
40 63 2
160 138 1
173 163 2
3 118 1
77 153 2
59 80 1
199 19 2
88 68 1
70 169 2
104 43 1
66 95 2
77 122 1
182 49 2
123 10 1
190 28 2
21 94 1
72 11 2
49 143 1
9 76 2
77 56 1
194 69 2
83 148 1
16 109 2
38 114 1
163 39 2
17 32 1
165 97 2
46 159 1
165 88 2
124 86 1
120 42 2
27 142 1
181 118 2
68 142 1
69 199 2
6 39 1
78 134 2
145 12 1
63 48 2
149 159 1
51 3 2
190 83 1
97 140 2
3 71 1
161 31 2
180 55 1
6 193 2
60 82 1
163 82 2
164 111 1
78 59 2
38 57 1
56 163 2
34 3 1
172 35 2
83 25 1
61 87 2
97 27 1
133 36 2
2 27 1
150 58 2
39 101 1
195 14 2
27 179 1
140 71 2
140 197 1
60 31 2
107 102 1
166 84 2
47 34 1
54 76 2
155 180 1
54 149 2
61 13 1
142 126 2
115 111 1
112 160 2
127 176 1
92 49 2
199 96 1
137 108 2
5 74 1
98 151 2
59 58 1
94 189 2
99 33 1
20 52 2
123 105 1
128 180 2
121 199 1
71 6 2
177 147 1
86 102 2
181 153 1
6 48 2
129 183 1
110 90 2
161 170 1
140 172 2
121 57 1
162 19 2
70 23 1
149 40 2
22 101 1
163 58 2
152 100 1
81 114 2
187 174 1
88 33 2
129 37 1
41 9 2
8 11 1
17 74 2
44 132 1
55 75 2
25 75 1
170 102 2
14 51 1
108 87 2
50 153 1
27 146 2
28 173 1
130 162 2
155 169 1
70 159 2
14 13 1
43 80 2
73 157 1
147 199 2
21 144 1
144 25 2
181 185 1
78 146 2
13 170 1
21 27 2
104 45 1
24 152 2
39 71 1
0 23 2
198 22 1
138 53 2
180 159 1
197 103 2
74 48 1
96 63 2
125 95 1
93 184 2
101 50 1
150 81 2
78 71 1
192 159 2
161 116 1
199 26 2
160 124 1
182 60 2
90 162 1
12 21 2
96 198 1
66 9 2
179 41 1
192 155 2
48 198 1
182 166 2
71 81 1
140 145 2
105 160 1
70 158 2
119 76 1
84 114 2
166 94 1
9 115 2
58 27 1
139 117 2
37 104 1
91 67 2
136 164 1
174 129 2
189 57 1
144 147 2
72 29 1
133 23 2
81 93 1
73 59 2
81 67 1
102 159 2
196 159 1
40 140 2
32 195 1
60 10 2
12 159 1
133 177 2
84 100 1
111 134 2
136 187 1
67 24 2
156 38 1
28 45 2
133 152 1
55 67 2
86 173 1
16 160 2
176 161 1
86 79 2
142 151 1
22 95 2
145 55 1
69 19 2
13 27 1
187 189 2
15 180 1
159 24 2
67 143 1
84 15 2
38 82 1
25 35 2
101 186 1
35 63 2
79 98 1
98 5 2
64 118 1
40 61 2
104 55 1
36 49 2
73 102 1
119 12 2
78 126 1
147 163 2
114 21 1
101 111 2
121 183 1
52 14 2
156 127 1
45 67 2
98 104 1
21 127 2
11 108 1
176 195 2
125 144 1
136 1 2
40 97 1
144 77 2
141 154 1
96 190 2
65 18 1
121 151 2
26 68 1
110 145 2
175 115 1
148 57 2
158 107 1
29 143 2
80 6 1
2 139 2
128 99 1
7 101 2
17 43 1
95 171 2
138 165 1
69 56 2
32 123 1
124 47 2
39 10 1
25 159 2
129 153 1
11 193 2
38 171 1
194 41 2
49 16 1
152 90 2
131 173 1
81 123 2
36 128 1
12 192 2
177 30 1
178 17 2
67 150 1
187 140 2
192 158 1
117 87 2
5 31 1
73 29 2
62 21 1
62 27 2
44 50 1
156 138 2
158 85 1
57 15 2
20 141 1
172 197 2
152 106 1
120 7 2
35 55 1
35 78 2
26 13 1
105 27 2
84 156 1
106 88 2
56 125 1
17 114 2
28 92 1
183 72 2
67 63 1
97 89 2
110 57 1
83 179 2
65 183 1
74 101 2
38 164 1
112 1 2
5 0 1
195 4 2
146 152 1
181 61 2
124 133 1
124 49 2
164 58 1
168 33 2
97 136 1
34 11 2
189 165 1
184 185 2
134 43 1
103 162 2
41 127 1
188 91 2
15 83 1
122 116 2
87 45 1
88 160 2
35 83 1
27 111 2
195 19 1
57 84 2
39 33 1
58 45 2
178 87 1
149 66 2
16 128 1
120 134 2
122 176 1
147 72 2
1 126 1
191 119 2
192 41 1
161 118 2
130 197 1
70 30 2
121 41 1
122 86 2
62 196 1
31 197 2
85 91 1
164 194 2
32 54 1
91 51 2
141 67 1
32 13 2
132 158 1
166 91 2
87 102 1
117 179 2
136 22 1
60 132 2
196 91 1
101 109 2
167 113 1
8 138 2
150 128 1
41 178 2
73 129 1
129 110 2
115 95 1
130 160 2
145 77 1
121 21 2
82 146 1
22 188 2
110 198 1
114 73 2
6 44 1
85 18 2
167 160 1
100 109 2
15 184 1
56 183 2
48 163 1
120 111 2
18 32 1
147 160 2
59 87 1
182 115 2
92 38 1
132 125 2
181 16 1
143 69 2
51 32 1
103 111 2
194 104 1
121 103 2
112 102 1
31 170 2
124 192 1
167 149 2
187 167 1
136 77 2
121 141 1
198 37 2
140 55 1
178 136 2
146 188 1
5 84 2
47 5 1
134 50 2
198 175 1
134 160 2
79 122 1
184 137 2
50 85 1
59 56 2
130 194 1
147 79 2
87 43 1
131 60 2
107 111 1
173 197 2
146 139 1
28 50 2
78 195 1
147 121 2
48 89 1
93 111 2
137 167 1
109 159 2
170 104 1
49 180 2
43 131 1
73 106 2
48 64 1
37 134 2
42 70 1
59 189 2
6 174 1
103 194 2
151 73 1
68 98 2
103 45 1
181 147 2
95 101 1
178 96 2
100 86 1
138 147 2
169 175 1
182 25 2
101 19 1
88 21 2
90 178 1
148 150 2
3 106 1
104 3 2
148 24 1
191 144 2
163 80 1
91 161 2
139 4 1
51 134 2
98 67 1
61 93 2
117 164 1
80 50 2
50 194 1
25 175 2
23 64 1
190 38 2
15 174 1
136 26 2
117 170 1
124 103 2
64 11 1
194 92 2
171 125 1
84 26 2
67 23 1
72 119 2
45 39 1
199 43 2
135 39 1
54 120 2
109 164 1
156 12 2
199 58 1
157 89 2
31 174 1
181 62 2
152 123 1
119 190 2
92 132 1
181 152 2
41 5 1
31 163 2
50 54 1
154 32 2
68 146 1
192 167 2
18 57 1
167 135 2
175 162 1
65 123 2
69 100 1
104 186 2
58 44 1
17 51 2
136 197 1
196 173 2
114 65 1
12 184 2
30 31 1
20 148 2
38 38 1
52 51 2
28 125 1
102 5 2
88 13 1
28 194 2
167 13 1
85 23 2
42 182 1
70 39 2
187 63 1
110 194 2
142 162 1
172 65 2
162 96 1
74 40 2
169 129 1
74 88 2
72 151 1
107 38 2
42 86 1
72 132 2
30 44 1
37 47 2
176 14 1
44 175 2
151 165 1
74 176 2
95 108 1
66 147 2
43 62 1
195 160 2
41 146 1
0 183 2
31 167 1
157 5 2
173 85 1
121 193 2
189 99 1
119 65 2
184 29 1
91 62 2
172 4 1
92 197 2
54 177 1
15 31 2
63 64 1
115 78 2
47 188 1
6 83 2
83 147 1
68 20 2
172 67 1
96 179 2
103 14 1
107 58 2
133 117 1
5 66 2
108 166 1
153 165 2
68 156 1
119 13 2
44 43 1
112 65 2
9 44 1
79 84 2
94 155 1
152 176 2
67 22 1
46 5 2
124 164 1
19 86 2
167 7 1
126 150 2
45 192 1
22 181 2
49 44 1
116 76 2
160 108 1
43 156 2
52 185 1
62 143 2
132 32 1
44 98 2
151 121 1
99 127 2
186 39 1
101 160 2
94 154 1
70 146 2
127 10 1
159 164 2
57 165 1
129 194 2
70 38 1
72 96 2
14 194 1
101 150 2
127 84 1
153 175 2
27 186 1
176 28 2
53 106 1
52 121 2
164 30 1
49 191 2
56 110 1
68 68 2
29 27 1
181 137 2
142 92 1
151 20 2
132 84 1
101 129 2
55 133 1
172 95 2
167 45 1
139 38 2
102 84 1
80 139 2
0 179 1
32 146 2
14 144 1
9 181 2
108 7 1
48 148 2
88 121 1
42 111 2
139 13 1
86 128 2
60 50 1
11 79 2
167 54 1
6 47 2
7 93 1
69 86 2
86 78 1
60 160 2
42 55 1
81 78 2
6 52 1
191 184 2
199 154 1
68 123 2
187 30 1
171 144 2
162 85 1
49 101 2
91 145 1
24 18 2
147 95 1
29 160 2
183 162 1
39 194 2
81 38 1
156 86 2
143 73 1
91 184 2
98 199 1
115 135 2
51 79 1
80 88 2
190 168 1
74 165 2
83 132 1
125 164 2
121 69 1
140 143 2
185 80 1
198 91 2
167 91 1
162 128 2
177 99 1
150 183 2
74 148 1
125 137 2
106 45 1
95 124 2
61 81 1
85 3 2
86 19 1
5 2 2
51 71 1
58 8 2
136 24 1
55 54 2
116 199 1
94 52 2
108 27 1
63 91 2
84 180 1
2 78 2
81 54 1
97 34 2
136 65 1
64 17 2
74 81 1
50 120 2
198 109 1
24 6 2
127 3 1
77 106 2
0 105 1
159 168 2
106 134 1
74 64 2
71 173 1
141 102 2
9 133 1
72 57 2
176 7 1
83 58 2
32 95 1
43 174 2
175 70 1
195 33 2
69 24 1
65 104 2
100 44 1
114 75 2
196 115 1
69 61 2
148 126 1
70 132 2
133 157 1
199 100 2
27 30 1
105 162 2
85 73 1
114 181 2
188 41 1
27 117 2
111 31 1
94 84 2
113 48 1
78 171 2
68 188 1
45 132 2
27 167 1
170 109 2
185 112 1
149 119 2
149 132 1
21 130 2
176 181 1
1 186 2
147 31 1
186 126 2
72 118 1
54 53 2
85 97 1
176 142 2
174 48 1
112 153 2
129 140 1
2 41 2
140 174 1
183 140 2
150 94 1
177 21 2
118 120 1
50 176 2
61 195 1
52 50 2
55 144 1
148 162 2
156 167 1
9 179 2
184 151 1
24 15 2
145 46 1
101 92 2
110 36 1
64 66 2
75 91 1
159 156 2
16 164 1
51 24 2
104 27 1
142 80 2
16 162 1
76 178 2
175 88 1
180 154 2
56 49 1
94 199 2
101 9 1
3 148 2
17 118 1
107 85 2
14 105 1
128 134 2
27 97 1
94 99 2
103 10 1
29 3 2
41 104 1
5 5 2
13 178 1
191 6 2
40 65 1
47 7 2
112 141 1
36 116 2
153 109 1
5 6 2
15 148 1
79 195 2
138 4 1
175 195 2
168 137 1
192 187 2
72 83 1
188 95 2
33 163 1
18 84 2
125 115 1
24 144 2
109 114 1
7 110 2
30 123 1
97 16 2
2 192 1
82 162 2
8 74 1
117 177 2
153 51 1
157 59 2
139 75 1
186 171 2
91 185 1
142 25 2
133 153 1
130 0 2
1 112 1
68 83 2
42 155 1
99 95 2
157 179 1
40 83 2
42 22 1
143 130 2
188 61 1
139 40 2
183 59 1
76 187 2
73 138 1
99 174 2
55 40 1
5 137 2
71 23 1
139 103 2
112 68 1
12 56 2
4 118 1
23 118 2
194 142 1
127 38 2
72 23 1
184 125 2
144 106 1
23 94 2
79 31 1
11 174 2
101 34 1
89 193 2
142 93 1
62 118 2
82 189 1
135 106 2
54 113 1
5 33 2
109 124 1
77 5 2
72 59 1
137 42 2
19 149 1
167 195 2
174 53 1
182 58 2
99 34 1
5 11 2
85 19 1
138 20 2
181 69 1
10 182 2
156 4 1
51 65 2
80 170 1
26 95 2
116 95 1
100 98 2
10 96 1
111 185 2
10 120 1
171 94 2
117 67 1
69 146 2
67 198 1
27 157 2
134 6 1
121 93 2
49 127 1
107 21 2
30 146 1
141 57 2
77 47 1
51 116 2
19 180 1
175 174 2
154 47 1
94 37 2
197 138 1
110 133 2
10 34 1
199 9 2
18 132 1
188 76 2
132 103 1
193 29 2
162 41 1
20 79 2
145 35 1
154 141 2
91 151 1
101 132 2
68 118 1
165 34 2
108 39 1
118 96 2
196 103 1
55 110 2
189 14 1
142 24 2
155 0 1
55 2 2
95 63 1
162 51 2
173 118 1
122 14 2
54 41 1
37 5 2
70 174 1
152 148 2
150 160 1
30 89 2
160 109 1
9 89 2
9 138 1
161 91 2
44 47 1
127 73 2
30 78 1
55 95 2
23 7 1
102 176 2
97 158 1
60 190 2
175 173 1
182 22 2
88 110 1
38 94 2
169 27 1
188 157 2
20 96 1
115 59 2
138 82 1
55 195 2
57 32 1
5 182 2
46 76 1
98 80 2
25 119 1
76 22 2
118 28 1
104 68 2
35 158 1
191 99 2
147 36 1
175 18 2
140 94 1
101 135 2
61 185 1
122 17 2
177 78 1
90 173 2
180 132 1
186 19 2
173 98 1
115 23 2
125 19 1
145 179 2
175 112 1
125 111 2
37 111 1
156 148 2
45 184 1
90 64 2
129 121 1
65 176 2
179 90 1
28 189 2
27 188 1
79 169 2
131 1 1
122 47 2
92 48 1
6 41 2
20 157 1
66 163 2
99 39 1
156 110 2
46 54 1
31 182 2
136 165 1
187 190 2
103 126 1
37 159 2
89 24 1
113 167 2
30 81 1
78 86 2
102 195 1
148 174 2
172 18 1
173 106 2
55 94 1
95 142 2
199 199 1
191 48 2
23 144 1
19 2 2
17 166 1
126 120 2
76 181 1
64 132 2
77 45 1
48 100 2
146 96 1
166 137 2
64 23 1
60 113 2
117 10 1
57 59 2
124 32 1
145 95 2
84 139 1
185 93 2
49 45 1
96 54 2
84 134 1
110 85 2
159 97 1
168 170 2
95 154 1
64 181 2
34 122 1
31 73 2
148 74 1
72 39 2
103 87 1
45 111 2
38 23 1
18 117 2
44 9 1
111 122 2
41 12 1
113 179 2
73 49 1
51 170 2
31 23 1
148 187 2
65 39 1
1 169 2
35 79 1
176 189 2
110 121 1
181 51 2
141 172 1
20 93 2
84 61 1
139 172 2
151 11 1
114 190 2
87 100 1
77 130 2
13 93 1
88 172 2
162 5 1
36 66 2
146 180 1
7 73 2
193 124 1
91 43 2
130 90 1
24 135 2
42 38 1
99 129 2
199 93 1
120 145 2
129 109 1
118 115 2
131 41 1
105 50 2
52 119 1
21 107 2
80 133 1
192 141 2
144 177 1
184 145 2
73 123 1
160 28 2
157 42 1
68 74 2
9 109 1
88 0 2
159 42 1
24 23 2
129 181 1
123 63 2
145 5 1
97 68 2
11 105 1
182 136 2
139 80 1
60 109 2
178 10 1
136 184 2
194 164 1
160 53 2
65 152 1
94 89 2
165 115 1
93 47 2
124 31 1
26 126 2
169 173 1
7 120 2
123 25 1
39 147 2
91 47 1
141 96 2
124 129 1
59 36 2
164 21 1
190 51 2
78 50 1
111 50 2
83 15 1
128 48 2
32 158 1
71 98 2
167 56 1
55 138 2
178 73 1
144 9 2
115 64 1
144 17 2
64 197 1
167 104 2
142 149 1
112 4 2
109 189 1
130 22 2
185 106 1
164 185 2
176 108 1
1 174 2
75 153 1
84 73 2
19 5 1
141 35 2
71 75 1
72 28 2
131 109 1
21 60 2
59 101 1
1 109 2
34 188 1
5 157 2
35 156 1
6 170 2
53 130 1
114 135 2
59 52 1
64 130 2
90 57 1
144 199 2
88 61 1
51 30 2
155 129 1
143 27 2
195 161 1
11 113 2
38 61 1
126 183 2
71 79 1
42 30 2
4 194 1
132 101 2
22 121 1
19 120 2
186 41 1
3 108 2
65 32 1
75 161 2
56 77 1
83 16 2
12 153 1
152 37 2
157 158 1
130 43 2
70 32 1
30 23 2
163 57 1
126 92 2
134 54 1
77 33 2
169 8 1
178 69 2
10 141 1
154 28 2
108 148 1
30 198 2
141 36 1
41 19 2
17 162 1
4 40 2
131 72 1
187 121 2
115 148 1
87 194 2
101 121 1
21 18 2
6 112 1
174 196 2
183 166 1
178 154 2
30 133 1
118 89 2
20 118 1
133 84 2
143 192 1
100 34 2
81 144 1
195 3 2
26 137 1
119 37 2
24 137 1
23 59 2
35 18 1
196 131 2
136 18 1
92 8 2
50 112 1
14 106 2
98 45 1
64 7 2
149 131 1
21 78 2
164 150 1
100 9 2
88 180 1
43 28 2
153 115 1
131 49 2
138 58 1
167 63 2
32 119 1
98 119 2
98 125 1
49 54 2
102 55 1
35 151 2
68 179 1
168 61 2
167 108 1
148 114 2
192 123 1
53 73 2
197 121 1
22 105 2
176 56 1
187 80 2
33 83 1
195 156 2
83 79 1
112 114 2
141 180 1
150 135 2
110 138 1
146 158 2
66 43 1
64 154 2
146 112 1
136 72 2
97 116 1
44 159 2
125 153 1
155 135 2
82 104 1
107 34 2
68 193 1
65 45 2
19 107 1
141 179 2
122 121 1
159 85 2
173 191 1
1 44 2
7 90 1
120 122 2
34 55 1
86 118 2
169 42 1
111 181 2
112 188 1
181 99 2
17 14 1
61 78 2
18 44 1
47 45 2
48 112 1
22 18 2
76 41 1
181 182 2
123 4 1
55 39 2
57 9 1
45 164 2
100 169 1
61 123 2
108 69 1
188 1 2
166 123 1
148 134 2
17 192 1
124 95 2
158 133 1
3 127 2
133 35 1
170 7 2
89 87 1
131 26 2
10 76 1
191 136 2
99 45 1
5 189 2
124 76 1
47 96 2
94 41 1
81 177 2
58 175 1
18 69 2
183 157 1
47 113 2
195 163 1
82 40 2
92 145 1
132 80 2
2 135 1
29 68 2
167 123 1
165 19 2
62 165 1
192 8 2
21 101 1
98 93 2
29 102 1
61 144 2
166 187 1
185 68 2
159 39 1
83 47 2
162 118 1
40 179 2
106 48 1
197 7 2
140 58 1
51 141 2
116 29 1
110 61 2
129 27 1
83 53 2
27 174 1
173 71 2
123 181 1
51 176 2
95 188 1
153 160 2
53 28 1
181 24 2
164 73 1
58 77 2
78 90 1
50 49 2
89 112 1
23 85 2
50 185 1
128 53 2
37 162 1
104 49 2
99 163 1
4 120 2
79 191 1
87 18 2
67 156 1
116 101 2
185 75 1
71 78 2
39 66 1
84 126 2
151 77 1
16 68 2
19 75 1
145 96 2
56 132 1
125 37 2
76 182 1
98 129 2
80 69 1
155 137 2
116 60 1
172 192 2
198 168 1
7 123 2
117 137 1
100 19 2
59 114 1
16 64 2
63 80 1
122 34 2
69 27 1
173 128 2
130 118 1
110 73 2
105 126 1
198 148 2
53 48 1
30 137 2
152 27 1
13 137 2
121 79 1
22 63 2
14 114 1
21 149 2
46 63 1
40 51 2
78 89 1
37 161 2
37 143 1
11 21 2
181 39 1
190 73 2
30 96 1
156 48 2
68 33 1
133 194 2
110 87 1
146 156 2
180 77 1
179 26 2
168 9 1
27 1 2
173 141 1
4 196 2
132 30 1
87 32 2
198 0 1
36 58 2
127 24 1
94 170 2
38 83 1
70 115 2
172 2 1
191 84 2
43 180 1
117 80 2
172 196 1
62 113 2
149 27 1
17 111 2
112 9 1
195 101 2
31 156 1
15 113 2
194 191 1
79 34 2
6 111 1
59 199 2
196 93 1
30 93 2
122 85 1
0 188 2
184 42 1
44 20 2
77 152 1
112 87 2
175 199 1
98 179 2
160 151 1
80 182 2
0 7 1
31 13 2
66 72 1
67 117 2
63 115 1
165 141 2
167 159 1
125 134 2
39 186 1
73 83 2
146 140 1
111 101 2
55 45 1
192 101 2
88 130 1
111 166 2
170 49 1
165 43 2
190 120 1
193 170 2
156 112 1
58 154 2
59 128 1
149 153 2
39 163 1
6 60 2
152 111 1
196 186 2
122 169 1
147 155 2
109 59 1
136 171 2
2 166 1
182 56 2
123 167 1
35 190 2
126 178 1
83 135 2
138 79 1
126 159 2
145 83 1
15 130 2
143 13 1
169 49 2
16 133 1
116 67 2
44 136 1
18 40 2
87 12 1
9 189 2
73 66 1
4 5 2
22 37 1
171 22 2
106 166 1
185 3 2
77 103 1
135 159 2
148 15 1
168 66 2
111 60 1
170 5 2
65 16 1
54 68 2
126 29 1
98 163 2
106 20 1
116 65 2
188 194 1
15 39 2
54 175 1
80 45 2
108 146 1
149 108 2
106 57 1
157 76 2
197 48 1
123 145 2
56 57 1
155 64 2
7 56 1
31 199 2
15 147 1
91 128 2
16 2 1
172 81 2
148 159 1
34 15 2
79 14 1
169 86 2
173 6 1
187 129 2
69 141 1
77 110 2
42 134 1
82 66 2
70 94 1
37 189 2
126 193 1
165 175 2
78 168 1
30 91 2
154 79 1
40 85 2
90 63 1
133 103 2
10 160 1
23 93 2
174 187 1
65 90 2
192 78 1
40 161 2
106 84 1
108 36 2
114 141 1
10 159 2
192 92 1
181 82 2
85 96 1
131 0 2
92 102 1
130 172 2
146 76 1
149 23 2
111 1 1
158 29 2
146 197 1
89 74 2
77 28 1
160 73 2
111 177 1
116 196 2
172 97 1
16 77 2
194 161 1
115 100 2
130 28 1
102 92 2
135 191 1
170 2 2
70 47 1
151 131 2
9 121 1
81 190 2
55 38 1
144 170 2
109 110 1
126 63 2
17 140 1
118 107 2
24 17 1
76 101 2
155 198 1
107 73 2
136 149 1
150 96 2
60 174 1
29 185 2
80 141 1
69 198 2
145 69 1
157 95 2
90 87 1
129 65 2
68 189 1
148 21 2
190 79 1
188 66 2
3 141 1
158 141 2
146 173 1
109 196 2
199 53 1
168 88 2
65 147 1
152 158 2
93 124 1
34 164 2
100 157 1
199 56 2
168 47 1
65 166 2
54 195 1
23 68 2
10 185 1
23 186 2
48 190 1
171 177 2
35 99 1
36 149 2
20 75 1
187 109 2
129 82 1
132 100 2
42 32 1
120 191 2
14 49 1
34 131 2
48 136 1
67 182 2
183 152 1
47 157 2
70 195 1
41 20 2
8 162 1
195 50 2
106 35 1
41 162 2
165 142 1
31 119 2
164 114 1
143 5 2
196 196 1
50 26 2
121 40 1
86 105 2
113 126 1
2 110 2
21 175 1
73 177 2
55 103 1
155 102 2
104 61 1
135 135 2
41 8 1
78 39 2
34 75 1
130 148 2
189 10 1
125 73 2
189 170 1
75 142 2
147 146 1
69 125 2
101 6 1
189 151 2
170 182 1
19 45 2
125 44 1
34 16 2
32 86 1
33 19 2
138 7 1
24 104 2
41 154 1
150 43 2
21 138 1
109 44 2
33 109 1
110 164 2
65 132 1
192 95 2
71 171 1
61 145 2
99 50 1
156 143 2
2 19 1
39 0 2
2 13 1
34 117 2
27 36 1
146 114 2
114 123 1
55 143 2
105 74 1
19 143 2
165 105 1
174 133 2
145 33 1
118 49 2
178 101 1
99 13 2
62 199 1
151 100 2
153 53 1
42 181 2
136 183 1
177 15 2
96 19 1
176 185 2
4 65 1
77 195 2
150 175 1
119 39 2
178 31 1
76 97 2
72 148 1
103 1 2
65 146 1
184 9 2
171 188 1
39 13 2
77 160 1
127 57 2
173 122 1
59 163 2
198 187 1
194 50 2
135 70 1
171 156 2
110 37 1
128 57 2
6 1 1
38 32 2
103 61 1
199 60 2
7 13 1
68 122 2
133 56 1
135 180 2
10 48 1
59 152 2
9 92 1
124 69 2
99 132 1
146 35 2
199 82 1
172 111 2
37 78 1
32 20 2
188 89 1
152 56 2
171 152 1
142 185 2
27 187 1
139 15 2
4 88 1
188 98 2
44 164 1
101 102 2
116 136 1
78 148 2
85 5 1
69 92 2
100 57 1
177 61 2
84 124 1
23 121 2
4 152 1
12 174 2
159 147 1
127 134 2
102 20 1
136 142 2
146 37 1
142 141 2
90 16 1
1 43 2
42 138 1
193 65 2
17 147 1
140 92 2
102 197 1
170 127 2
181 171 1
199 124 2
169 92 1
97 119 2
192 37 1
9 127 2
130 91 1
75 68 2
142 22 1
155 128 2
199 71 1
0 68 2
106 143 1
145 140 2
12 164 1
73 128 2
72 20 1
131 130 2
134 149 1
183 119 2
46 43 1
190 18 2
52 171 1
94 141 2
11 173 1
171 9 2
115 138 1
101 101 2
177 154 1
185 20 2
65 105 1
182 38 2
132 70 1
199 169 2
145 116 1
123 169 2
171 163 1
127 99 2
104 144 1
127 9 2
90 177 1
195 59 2
123 95 1
6 55 2
58 171 1
105 182 2
97 65 1
109 57 2
48 153 1
0 155 2
112 168 1
180 139 2
