100 100
96 23 2
91 56 1
85 84 2
27 3 1
20 58 2
88 86 1
79 43 2
95 62 1
95 56 2
68 49 1
99 25 2
22 81 1
29 7 2
40 28 1
17 86 2
63 0 1
50 2 2
10 4 1
56 7 2
8 58 1
84 41 2
43 7 1
7 11 2
19 96 1
90 35 2
11 27 1
95 40 2
16 91 1
83 58 2
21 6 1
44 42 2
79 86 1
53 75 2
55 21 1
78 97 2
77 57 1
67 40 2
25 51 1
29 36 2
12 25 1
18 32 2
43 42 1
99 73 2
60 55 1
73 54 2
89 94 1
31 13 2
91 62 1
4 46 2
83 97 1
77 35 2
94 84 1
25 74 2
34 95 1
50 27 2
64 74 1
25 49 2
0 96 1
36 87 2
55 73 1
55 62 2
60 91 1
85 63 2
95 79 1
74 35 2
47 30 1
95 61 2
50 91 1
36 86 2
33 68 1
89 75 2
61 88 1
67 74 2
78 98 1
34 53 2
51 64 1
94 10 2
42 96 1
79 11 2
89 59 1
62 74 2
61 23 1
95 30 2
78 64 1
81 30 2
54 98 1
82 67 2
67 2 1
53 99 2
25 32 1
50 89 2
84 66 1
7 21 2
4 88 1
59 24 2
41 57 1
33 0 2
34 17 1
80 92 2
58 8 1
41 7 2
96 4 1
60 63 2
99 40 1
95 51 2
49 90 1
17 20 2
94 92 1
50 78 2
57 93 1
63 26 2
41 41 1
5 24 2
14 24 1
98 51 2
61 0 1
30 18 2
67 89 1
86 46 2
60 89 1
91 28 2
63 84 1
90 20 2
99 94 1
63 3 2
50 13 1
28 43 2
52 7 1
58 75 2
17 73 1
82 38 2
30 11 1
76 58 2
63 27 1
96 65 2
45 12 1
43 36 2
83 45 1
72 98 2
34 80 1
88 72 2
15 33 1
79 8 2
52 96 1
22 38 2
37 99 1
60 8 2
21 18 1
71 74 2
87 40 1
34 63 2
81 49 1
89 65 2
52 11 1
28 75 2
28 67 1
21 29 2
42 72 1
32 56 2
1 94 1
23 11 2
66 56 1
48 3 2
35 40 1
56 95 2
87 55 1
18 64 2
10 64 1
55 26 2
79 9 1
68 90 2
83 21 1
67 98 2
51 77 1
46 51 2
31 23 1
68 67 2
56 56 1
38 77 2
75 64 1
83 25 2
93 73 1
2 49 2
63 4 1
8 8 2
72 63 1
44 45 2
26 92 1
46 93 2
3 31 1
27 48 2
30 0 1
10 88 2
37 19 1
38 48 2
2 10 1
92 96 2
66 68 1
5 62 2
80 82 1
42 60 2
73 23 1
86 0 2
65 19 1
67 21 2
63 42 1
76 70 2
82 86 1
9 37 2
10 76 1
93 38 2
6 69 1
77 31 2
59 30 1
40 59 2
54 79 1
18 94 2
98 16 1
22 95 2
68 45 1
12 46 2
27 85 1
85 1 2
99 90 1
75 97 2
10 35 1
73 48 2
63 40 1
85 67 2
57 40 1
14 1 2
85 96 1
47 32 2
66 15 1
76 2 2
34 75 1
75 7 2
75 4 1
99 95 2
25 18 1
36 81 2
83 44 1
92 12 2
0 4 1
84 67 2
36 53 1
80 51 2
10 12 1
6 50 2
1 18 1
41 15 2
12 38 1
90 0 2
20 61 1
27 14 2
65 38 1
89 30 2
88 13 1
79 99 2
61 25 1
46 66 2
49 10 1
75 47 2
20 96 1
19 32 2
34 12 1
53 67 2
13 13 1
18 36 2
91 43 1
18 1 2
74 11 1
35 97 2
73 2 1
48 86 2
21 62 1
1 77 2
48 61 1
88 98 2
71 87 1
28 92 2
0 65 1
45 18 2
15 85 1
46 69 2
97 58 1
35 98 2
27 46 1
47 62 2
62 57 1
75 98 2
1 2 1
73 46 2
18 81 1
76 55 2
76 87 1
13 45 2
47 21 1
15 0 2
84 13 1
83 39 2
81 11 1
91 79 2
83 52 1
86 96 2
57 96 1
8 67 2
46 2 1
33 24 2
79 22 1
25 11 2
98 47 1
32 10 2
96 37 1
56 91 2
39 61 1
54 63 2
68 91 1
52 82 2
19 92 1
90 6 2
37 83 1
86 22 2
15 3 1
30 60 2
27 87 1
10 60 2
61 57 1
33 35 2
79 27 1
6 22 2
14 32 1
93 10 2
2 41 1
81 6 2
68 4 1
48 55 2
57 77 1
44 67 2
63 7 1
36 63 2
68 6 1
82 7 2
22 12 1
8 96 2
45 83 1
32 35 2
21 82 1
71 61 2
68 35 1
18 16 2
20 57 1
53 86 2
27 35 1
31 87 2
27 1 1
97 35 2
7 22 1
7 20 2
73 43 1
8 64 2
62 42 1
81 58 2
88 4 1
36 25 2
39 74 1
2 22 2
76 39 1
8 30 2
69 71 1
89 35 2
95 77 1
4 79 2
37 52 1
72 46 2
84 56 1
64 19 2
18 91 1
45 64 2
8 50 1
51 37 2
21 23 1
70 11 2
97 66 1
56 19 2
58 43 1
74 42 2
58 84 1
38 27 2
17 57 1
4 48 2
30 33 1
78 10 2
95 75 1
41 82 2
24 89 1
21 15 2
25 20 1
71 40 2
85 47 1
8 92 2
7 13 1
70 63 2
95 41 1
14 51 2
41 33 1
51 18 2
30 42 1
59 8 2
44 93 1
60 75 2
13 69 1
37 64 2
38 36 1
18 25 2
36 90 1
77 95 2
45 19 1
15 77 2
51 94 1
26 24 2
57 63 1
66 49 2
85 86 1
10 13 2
45 3 1
10 83 2
11 68 1
90 18 2
28 53 1
7 96 2
39 19 1
26 91 2
41 55 1
15 42 2
10 50 1
61 22 2
27 71 1
99 63 2
7 92 1
13 34 2
24 63 1
48 24 2
12 98 1
26 1 2
2 78 1
26 75 2
86 8 1
15 34 2
48 49 1
63 93 2
79 77 1
34 61 2
9 54 1
97 8 2
3 95 1
50 66 2
71 69 1
90 47 2
66 87 1
33 79 2
90 37 1
9 76 2
5 1 1
42 67 2
96 70 1
95 34 2
56 9 1
21 16 2
8 43 1
36 65 2
9 3 1
92 20 2
90 89 1
30 22 2
53 10 1
88 65 2
8 63 1
91 3 2
52 38 1
36 39 2
92 42 1
18 96 2
97 72 1
48 95 2
63 76 1
64 39 2
21 58 1
8 34 2
3 66 1
59 42 2
80 32 1
29 91 2
17 13 1
25 13 2
1 50 1
72 51 2
73 71 1
12 86 2
18 90 1
77 6 2
27 42 1
57 41 2
1 81 1
34 18 2
1 53 1
25 82 2
71 80 1
68 44 2
23 59 1
56 37 2
7 94 1
49 34 2
77 3 1
28 76 2
46 4 1
79 91 2
59 91 1
73 17 2
26 10 1
62 68 2
27 23 1
32 62 2
24 69 1
50 0 2
90 28 1
11 54 2
80 49 1
39 3 2
67 54 1
29 89 2
47 86 1
62 55 2
58 18 1
64 97 2
22 24 1
81 22 2
7 86 1
44 96 2
62 98 1
78 89 2
4 93 1
71 3 2
16 31 1
68 1 2
89 13 1
92 91 2
88 18 1
71 78 2
14 62 1
62 94 2
62 64 1
53 84 2
95 20 1
28 97 2
53 56 1
66 20 2
31 68 1
21 20 2
18 5 1
52 73 2
91 88 1
79 83 2
99 92 1
79 26 2
29 74 1
22 50 2
11 65 1
93 99 2
21 10 1
55 8 2
3 43 1
43 39 2
72 26 1
47 64 2
82 65 1
12 65 2
2 14 1
71 37 2
97 52 1
63 13 2
25 48 1
27 7 2
94 43 1
88 97 2
18 76 1
77 46 2
69 79 1
57 49 2
3 33 1
40 98 2
43 62 1
51 27 2
31 64 1
97 67 2
26 9 1
49 16 2
15 71 1
20 13 2
50 58 1
43 58 2
89 64 1
47 55 2
88 9 1
95 73 2
75 68 1
69 43 2
73 44 1
91 39 2
0 73 1
62 11 2
34 8 1
35 96 2
3 29 1
76 40 2
22 21 1
47 78 2
3 9 1
62 29 2
9 26 1
36 76 2
98 0 1
71 13 2
49 80 1
41 13 2
18 77 1
13 51 2
92 25 1
16 11 2
11 44 1
42 54 2
74 82 1
6 1 2
50 79 1
6 53 2
31 71 1
95 60 2
79 30 1
44 19 2
81 59 1
16 73 2
49 86 1
99 32 2
55 58 1
15 60 2
59 92 1
73 77 2
50 45 1
31 26 2
13 47 1
82 33 2
92 75 1
29 55 2
39 81 1
5 28 2
56 0 1
31 81 2
91 81 1
92 59 2
17 48 1
49 72 2
26 59 1
79 74 2
93 46 1
74 76 2
20 14 1
4 14 2
53 74 1
86 91 2
81 83 1
50 46 2
17 10 1
2 62 2
82 19 1
5 52 2
49 6 1
85 54 2
23 75 1
24 34 2
46 38 1
32 39 2
48 62 1
95 32 2
96 91 1
15 39 2
99 29 1
58 45 2
49 94 1
39 57 2
69 65 1
15 81 2
29 79 1
15 78 2
56 52 1
8 47 2
6 20 1
33 21 2
38 29 1
53 40 2
71 8 1
58 38 2
87 11 1
1 48 2
68 43 1
78 2 2
14 2 1
11 79 2
93 54 1
46 9 2
66 76 1
10 38 2
25 71 1
54 82 2
8 68 1
89 63 2
1 45 1
65 99 2
11 6 1
68 8 2
19 44 1
76 80 2
1 86 1
62 15 2
71 77 1
41 74 2
22 84 1
32 27 2
24 67 1
17 84 2
20 0 1
11 4 2
48 20 1
86 44 2
28 41 1
71 66 2
91 98 1
12 61 2
71 70 1
5 90 2
21 8 1
25 40 2
21 81 1
36 64 2
2 95 1
13 83 2
30 98 1
26 19 2
49 40 1
35 21 2
69 14 1
50 4 2
36 32 1
28 35 2
25 8 1
82 45 2
35 75 1
9 12 2
15 21 1
49 3 2
23 34 1
33 47 2
6 98 1
39 0 2
80 8 1
83 42 2
69 37 1
80 66 2
26 88 1
0 97 2
17 91 1
55 0 2
49 87 1
51 83 2
54 73 1
83 61 2
5 6 1
97 10 2
74 31 1
83 28 2
63 11 1
83 26 2
17 85 1
72 28 2
5 58 1
10 65 2
61 17 1
77 11 2
22 94 1
38 31 2
15 94 1
7 88 2
32 71 1
75 52 2
44 72 1
10 84 2
32 91 1
56 27 2
50 74 1
76 28 2
36 7 1
80 34 2
32 70 1
44 51 2
86 25 1
61 33 2
63 56 1
14 90 2
26 14 1
87 22 2
51 3 1
7 8 2
29 56 1
75 45 2
84 57 1
15 25 2
34 25 1
24 86 2
49 82 1
35 15 2
93 44 1
88 23 2
91 94 1
0 80 2
56 5 1
8 87 2
21 12 1
76 15 2
39 47 1
55 90 2
48 43 1
7 12 2
79 29 1
46 28 2
87 56 1
1 47 2
31 24 1
79 62 2
98 18 1
6 7 2
6 40 1
56 89 2
66 95 1
61 90 2
19 15 1
10 26 2
94 94 1
82 49 2
92 9 1
55 9 2
42 7 1
9 7 2
61 49 1
71 54 2
64 23 1
91 27 2
98 23 1
1 66 2
74 60 1
0 69 2
53 73 1
88 34 2
9 11 1
72 18 2
27 84 1
87 25 2
81 41 1
89 26 2
83 40 1
86 56 2
39 60 1
1 59 2
69 77 1
44 69 2
77 80 1
4 2 2
83 64 1
2 51 2
99 9 1
80 69 2
40 26 1
27 36 2
57 99 1
11 25 2
67 62 1
10 3 2
16 67 1
52 46 2
97 9 1
71 47 2
25 60 1
32 94 2
22 92 1
52 4 2
78 66 1
33 10 2
78 25 1
9 1 2
67 14 1
75 95 2
60 38 1
78 35 2
72 24 1
53 49 2
82 88 1
65 78 2
24 10 1
20 45 2
35 36 1
84 63 2
47 88 1
9 8 2
41 76 1
93 42 2
50 86 1
53 92 2
88 95 1
97 71 2
26 89 1
49 98 2
42 19 1
48 33 2
9 69 1
34 92 2
70 19 1
57 48 2
54 24 1
22 14 2
21 53 1
89 41 2
30 92 1
62 82 2
60 56 1
9 60 2
65 76 1
79 33 2
46 34 1
6 11 2
62 72 1
54 23 2
9 29 1
62 48 2
90 8 1
19 57 2
39 43 1
82 54 2
70 66 1
38 92 2
11 77 1
36 80 2
9 13 1
40 99 2
10 91 1
45 22 2
22 10 1
5 71 2
87 4 1
56 35 2
16 88 1
41 77 2
97 80 1
56 70 2
21 13 1
74 97 2
26 45 1
25 73 2
40 91 1
4 78 2
97 25 1
26 8 2
94 40 1
97 49 2
37 37 1
78 82 2
77 33 1
90 48 2
80 75 1
56 12 2
4 16 1
80 96 2
7 85 1
10 66 2
81 0 1
56 36 2
93 59 1
17 8 2
88 61 1
61 32 2
77 72 1
19 23 2
77 50 1
49 28 2
78 54 1
33 27 2
20 95 1
34 72 2
74 8 1
85 46 2
90 39 1
79 70 2
45 82 1
75 72 2
42 8 1
62 85 2
74 48 1
94 14 2
27 43 1
18 82 2
90 84 1
63 17 2
30 81 1
91 36 2
18 69 1
1 70 2
81 66 1
66 84 2
47 79 1
9 40 2
30 1 1
65 95 2
74 25 1
95 12 2
50 36 1
60 6 2
3 22 1
91 69 2
76 7 1
32 65 2
65 52 1
35 52 2
3 19 1
87 86 2
17 1 1
42 62 2
73 28 1
82 61 2
59 61 1
89 21 2
18 12 1
83 68 2
91 83 1
98 86 2
26 84 1
32 89 2
28 99 1
84 6 2
64 82 1
16 60 2
77 92 1
20 41 2
29 53 1
81 72 2
72 31 1
92 41 2
42 24 1
39 85 2
58 42 1
34 87 2
53 46 1
94 80 2
24 97 1
3 83 2
47 99 1
3 48 2
12 32 1
3 24 2
67 1 1
11 0 2
14 78 1
76 19 2
85 31 1
42 1 2
60 96 1
38 18 2
85 3 1
96 18 2
19 65 1
76 13 2
89 97 1
50 39 2
40 40 1
11 74 2
29 71 1
79 84 2
72 6 1
36 13 2
32 9 1
86 78 2
60 44 1
82 37 2
18 52 1
73 87 2
35 44 1
13 22 2
10 29 1
91 75 2
72 79 1
8 10 2
91 77 1
48 91 2
1 68 1
14 53 2
28 59 1
75 26 2
21 31 1
17 81 2
39 71 1
76 23 2
59 25 1
28 61 2
99 67 1
0 71 2
20 70 1
43 90 2
13 99 1
9 72 2
90 98 1
76 60 2
58 54 1
91 7 2
69 56 1
97 61 2
81 27 1
3 82 2
79 80 1
9 24 2
21 77 1
70 29 2
94 24 1
97 7 2
60 30 1
53 77 2
8 98 1
78 3 2
36 43 1
25 12 2
88 51 1
1 79 2
17 46 1
90 79 2
27 38 1
41 96 2
35 49 1
49 48 2
70 48 1
87 59 2
66 18 1
36 36 2
71 86 1
44 21 2
16 61 1
19 14 2
61 87 1
47 83 2
93 87 1
74 50 2
94 8 1
44 4 2
44 27 1
24 94 2
51 98 1
97 76 2
80 41 1
50 20 2
23 67 1
48 46 2
57 37 1
0 6 2
59 55 1
90 54 2
56 57 1
55 70 2
29 13 1
10 21 2
66 34 1
74 84 2
68 11 1
53 97 2
76 8 1
65 62 2
84 92 1
46 85 2
46 58 1
10 62 2
13 10 1
9 55 2
41 78 1
13 25 2
60 12 1
68 28 2
67 83 1
98 92 2
35 1 1
51 15 2
35 17 1
40 0 2
51 8 1
38 98 2
27 11 1
25 9 2
52 20 1
75 94 2
30 71 1
11 71 2
62 66 1
94 99 2
99 37 1
72 17 2
19 29 1
0 8 2
76 97 1
49 22 2
91 35 1
38 32 2
14 82 1
4 75 2
51 81 1
73 51 2
42 77 1
16 87 2
16 66 1
85 40 2
90 15 1
80 47 2
11 95 1
87 84 2
19 12 1
44 38 2
50 50 1
66 81 2
53 55 1
43 56 2
36 35 1
53 65 2
17 88 1
85 75 2
71 0 1
2 4 2
17 71 1
82 36 2
96 62 1
96 5 2
89 39 1
36 44 2
31 65 1
19 83 2
3 50 1
92 73 2
0 85 1
69 22 2
24 62 1
42 71 2
53 85 1
66 77 2
12 78 1
5 87 2
33 91 1
80 5 2
54 99 1
72 70 2
10 92 1
23 71 2
55 53 1
52 85 2
46 60 1
44 54 2
38 75 1
67 65 2
86 40 1
96 7 2
53 54 1
97 55 2
3 60 1
72 8 2
18 14 1
18 8 2
47 20 1
94 44 2
88 14 1
92 79 2
39 33 1
23 48 2
43 41 1
39 77 2
0 26 1
16 19 2
85 5 1
54 58 2
72 97 1
14 0 2
27 5 1
6 56 2
62 90 1
55 31 2
96 53 1
97 1 2
2 56 1
0 29 2
9 48 1
36 38 2
74 44 1
78 92 2
65 27 1
50 77 2
14 16 1
45 87 2
90 80 1
57 87 2
12 72 1
23 26 2
4 63 1
48 19 2
17 29 1
61 64 2
27 8 1
61 34 2
54 71 1
38 1 2
46 74 1
30 94 2
5 51 1
84 71 2
51 1 1
6 79 2
95 23 1
40 45 2
4 25 1
99 99 2
48 67 1
97 30 2
97 34 1
82 5 2
36 26 1
57 73 2
23 9 1
64 77 2
19 2 1
75 40 2
0 12 1
63 68 2
83 31 1
78 73 2
82 0 1
29 77 2
98 90 1
43 52 2
64 30 1
57 89 2
28 38 1
96 67 2
73 91 1
18 11 2
67 78 1
22 45 2
28 36 1
94 6 2
25 79 1
71 26 2
19 17 1
73 10 2
79 18 1
85 94 2
22 36 1
5 82 2
34 0 1
12 63 2
37 49 1
11 16 2
54 18 1
90 64 2
72 32 1
93 90 2
16 59 1
13 52 2
66 3 1
33 98 2
67 9 1
9 25 2
52 22 1
16 75 2
99 98 1
70 76 2
83 63 1
30 32 2
23 24 1
90 96 2
48 72 1
26 60 2
30 54 1
45 71 2
86 62 1
59 53 2
63 73 1
56 8 2
42 9 1
89 50 2
9 23 1
13 60 2
6 63 1
79 49 2
76 75 1
53 35 2
33 30 1
36 97 2
63 63 1
26 35 2
86 23 1
82 81 2
67 96 1
72 38 2
41 72 1
87 3 2
73 86 1
46 20 2
34 54 1
81 38 2
